[I 2025-04-07 23:26:14,090] Trial 0 finished with value: 0.8152430583013069 and parameters: {'n_estimators': 58, 'learning_rate': 0.03213347717758001, 'criterion': 'entropy', 'max_depth': 14, 'min_samples_split': 55, 'min_samples_leaf': 16}. Best is trial 0 with value: 0.8152430583013069.
[I 2025-04-07 23:26:25,954] Trial 1 finished with value: 0.8120990016887468 and parameters: {'n_estimators': 12, 'learning_rate': 0.19695938577532673, 'criterion': 'entropy', 'max_depth': 10, 'min_samples_split': 54, 'min_samples_leaf': 11}. Best is trial 0 with value: 0.8152430583013069.
[I 2025-04-07 23:26:42,644] Trial 2 finished with value: 0.800654130225055 and parameters: {'n_estimators': 12, 'learning_rate': 0.761620263398808, 'criterion': 'entropy', 'max_depth': 15, 'min_samples_split': 5, 'min_samples_leaf': 29}. Best is trial 0 with value: 0.8152430583013069.
[I 2025-04-07 23:27:32,656] Trial 3 finished with value: 0.8136502589353338 and parameters: {'n_estimators': 52, 'learning_rate': 0.013361249574884547, 'criterion': 'gini', 'max_depth': 11, 'min_samples_split': 40, 'min_samples_leaf': 19}. Best is trial 0 with value: 0.8152430583013069.
[I 2025-04-07 23:28:22,880] Trial 4 finished with value: 0.801617577026013 and parameters: {'n_estimators': 31, 'learning_rate': 0.22908357564016335, 'criterion': 'entropy', 'max_depth': 26, 'min_samples_split': 5, 'min_samples_leaf': 23}. Best is trial 0 with value: 0.8152430583013069.
[I 2025-04-07 23:28:38,182] Trial 5 finished with value: 0.6914432020468807 and parameters: {'n_estimators': 15, 'learning_rate': 3.389393058713354, 'criterion': 'gini', 'max_depth': 12, 'min_samples_split': 37, 'min_samples_leaf': 28}. Best is trial 0 with value: 0.8152430583013069.
[I 2025-04-07 23:28:49,344] Trial 6 finished with value: 0.8025825175156969 and parameters: {'n_estimators': 8, 'learning_rate': 0.0010102461088071482, 'criterion': 'entropy', 'max_depth': 16, 'min_samples_split': 31, 'min_samples_leaf': 20}. Best is trial 0 with value: 0.8152430583013069.
[I 2025-04-07 23:29:07,418] Trial 7 finished with value: 0.7788952502455799 and parameters: {'n_estimators': 57, 'learning_rate': 0.08904163445457798, 'criterion': 'log_loss', 'max_depth': 3, 'min_samples_split': 62, 'min_samples_leaf': 32}. Best is trial 0 with value: 0.8152430583013069.
[I 2025-04-07 23:29:16,487] Trial 8 finished with value: 0.8068167735972066 and parameters: {'n_estimators': 8, 'learning_rate': 0.0006814758397086462, 'criterion': 'gini', 'max_depth': 20, 'min_samples_split': 55, 'min_samples_leaf': 26}. Best is trial 0 with value: 0.8152430583013069.
[I 2025-04-07 23:30:08,128] Trial 9 finished with value: 0.8105483243448417 and parameters: {'n_estimators': 52, 'learning_rate': 0.04222690450234554, 'criterion': 'log_loss', 'max_depth': 9, 'min_samples_split': 24, 'min_samples_leaf': 24}. Best is trial 0 with value: 0.8152430583013069.
